b'RT @CoinDeskMarkets: #Bitcoin #BTCUSD (4-hour chart) Bearish divergence and a drop to ascending trendline support. The chart looks topp',
"b'RT @ArminVanBitcoin: Bitcoin Core  set to launch in coming days. The release will support native #segwit addresses, also called bech'",
b'BREAKING: A Token to Regulate All Tokens? Messari to Raise ICO in 2018  ',
b'RT @bitcoincomics: Fighting against crypto in 2018. ',
b'RT @CoinDeskMarkets: #bitcoin #BTCUSD 15-min chart shows inverse head and shoulders pattern. A break above the neckline resistance will l',
b'Building a Base? Crypto Market Hovers Around $500 billion  ',
b'Customer Tries to Withdraw $20 Trillion in Crypto Exchange Glitch  ',
"b'Bitcoin Weathers Overnight Sell-Off, Looks to Test $12K  '",
"b""Russia's Capital Is Leading the Charge for Blockchain Democracy  """,
b'Venezuela Claims $735 Million Raised in First Cryptocurrency Sale  ',
"b'Wired For Women in Cryptocurrency, A New Effort to Grow Their Ranks  by @eringriffith'",
"b""Tesla's Cloud Hit By Crypto Mining Malware Attack  """,
b'Dutch Bank ING Says Crypto Exchange Bitfinex Is An Account Holder  ',
b'US Securities Regulator Rejects BitConnect Records Request  ',
"b""Petro Debut: What We Learned About Venezuela's Cryptocurrency Today  """,
b'Report: Japanese Crypto Exchanges Unite to Form Self-Regulatory Group  ',
"b""Lisk Relaunches Blockchain Project With 'Accessibility' in Mind  """,
b'EU Regulators to Discuss Crypto Regulation Next Week  ',
b'Game Over: Anonymous Vigilante Shuts Down Crypto Twitter s Favorite Dapp  ',
"b'500 Startups, Huobi Labs Team Up to Incubate Blockchain Projects  '",
b'RT @prestonjbyrne: Huge. Law firms are so paper-based and so (entirely justifiably) paranoid about the other side that blockchain makes a t',
"b'Finland Mandates Cold Storage, Public Auctions for Seized Bitcoins  '",
b'RT @DelRayMan: 10 law firms from around the world have joined DLT consortium R3 to help educate a new breed of lawyers: ',
b'RT @SpirosMargaris: New #Bitcoin #Code Will Finally Boast Full #SegWit Support  #fintech #blockchain #DigitalCur',
"b""Vitalik Has a New Idea for ICOs And It's Being Tested  """,
b'Bitcoin Price Ticks Higher Amid Strong Korean Demand  ',
"b""RT @CampbellHOULaw: It looks like Wyoming HB 70 just passed the House. Here's a @coindesk article on the proposed law, which affects utilit""",
"b""South Korea to Support 'Normal' Crypto Trading, Says Finance Watchdog  """,
b'Wyoming House Approves Utility Token Securities Exemptions Bill  ',
"b""Venezuela's 'Petro' Token Launches in Pre-Sale  """,
b'BREAKING: R3 Center to Train Next Generation of Distributed Ledger Lawyers  ',
b'New Bitcoin Code Will Finally Boast Full SegWit Support  ',
"b'RT @NoelleInMadrid: ""Keep an open mind, think beyond the quarterly metrics Wall Street obsesses over, question your assumptions about how t'",
b'RT @SpirosMargaris: #Coinbase. #Ripple. #Uphold? #Investor #GregKidd Defends Bold Bet  #fintech @DelRayMan @coi',
b'RT @Penny_Green: The @CryptoKitties Competitors: 4 #Ethereum Games That Are Catching Up  via @CoinDesk',
b'RT @shatzakis: California Bill Would Legally Recognize Blockchain Data:  via @coindesk #cryptocurrency #crypto',
b'California Lawmaker Files Bill to Legally Recognize Blockchain Data  ',
"b""Actor Steven Seagal Endorses Questionable 'Bitcoiin' ICO  """,
"b""Who Said What About Coinbase and Visa's User Payment Dispute  """,
b'Israel Confirms It Will Tax Bitcoin as Property  ',
b'Long Blockchain Is At Risk for Exchange Removal Again  ',
b'Banks Buy Stakes in Blockchain Startup SETL  ',
"b'@Eric91823011 Hi Eric. It was 1,200 individual complaints'",
"b""Lithuania's Central Bank Probes 100 Million Euro ICO  """,
b'The price of bitcoin is back over $11k (Chart via @CoinDesk BPI)  ',
"b""RT @DelRayMan: After making a $57 million investment in cryptocurrency exchange, Uphold, blockchain's Forrest Gump reveals big plans for in""",
"b'$850 Million Raised in ICO So Far, Says Telegram  '",
b'Record Retest? ETC Looks Poised on Double-Digit Climb  ',
b'Coinbase. Ripple. Uphold? Investor Greg Kidd Defends Boldest Bet  ',
b'RT @IBMBlockchain: Emerging best practices for the coming generation of #blockchain business tools ',
"b'Australian Watchdog Received 1,200 Crypto Scam Complaints in 2017  '",
b'Bitcoin Prices at 20-day High as Bottom Confirmed  ',
b'Bancor Bounce Back? A Once-Doubted ICO Is Winning Adoption  ',
b'PC Giant Lenovo Seeks Blockchain Validation Patent  ',
b'Why Decentralization Matters  by @cdixon',
b'RT @NeerajKA: New bitcoin atm in DC ',
b'RT @SpirosMargaris: #Dogecoin Is Helping #Ethereum Solve Its Biggest Issue  #fintech #blockchain #digitalcurrenc',
b'FT Worldpay and Visa in Row Over Cryptocurrency Charges  by @adamsamson',
"b""RT @thinkpayments: Interesting read. In 10 Years We Won't Have #Blockchains  via @CoinDesk""",
b'The Real Problem With Nocoiners  ',
"b'No, Not All ICOs Are Securities  '",
b'Dogecoin Is Helping Ethereum Solve Its Biggest Issue  ',
"b""In 10 Years We Won't Have Blockchains  """,
b'The CryptoKitties Competitors: 4 Ethereum Games That Are Catching Up  ',
b'FCC: Bitcoin Miner Interfered With T-Mobile Network  ',
"b'Crypto Regulation? Not Anytime Soon, Says White House Official  '",
"b""Ellen DeGeneres on Bitcoin: It's 'Either Worth $20,000 or Nothing'  """,
b'Prosecutors Accuse Chicago Trader of $2 Million Crypto Theft  ',
b'@mchandleraz All of our videos from Consensus are available here: ',
b'Swiss Finance Regulator to Treat Some ICO Tokens As Securities  ',
"b'$10K Again for Bitcoin, But Other Cryptos Are Outperforming  '",
b'SEC Suspends Trading for 3 Companies Claiming Crypto Connection  ',
"b'RT @CoinDeskMarkets: Long view on #BTC: Price up over 850% year-over-year 2/16/17: $1,019 2/16/18: $9,887 (Data via @CoinDesk BPI) https:'",
"b'RT @TheEllenShow: If you want to know what bitcoin is, I learned about it. A bit. '",
"b'RT @CoinDeskMarkets: #Bitcoin #BTCUSD needs ""high volume"" break above $10K. "" Trading volumes peaked after prices moved above $10,000 yes'",
b'Silent No More: Ethereum Users Spurn Fund Recovery Code  ',
b'RT @sytaylor: CFTC Chief: US Should Tread Lightly on Crypto Exchanges  via @CoinDesk',
"b'RT @CoinDeskMarkets: #Bitcoin #BTCUSD (4-hour chart): 5MA. 10MA are topping out, bulls need progress soon, else prices could test rising tr'",
b'@Pedro_Es_LTC Hi Pedro. We reported on litecoin yesterday: ',
"b'Bitcoin Cash Hits $1,500 Amid Short-Term Bull Reversal  '",
"b""Japan's Finance Watchdog to Inspect 15 Unlicensed Crypto Exchanges  """,
b'Pullback on the Cards? Bitcoin Finds Weak Hands Above $10K  ',
b'Vitalik Buterin Hopes New Ethereum Fund Will Deliver on Hype  ',
b'Spanish Government Eyes Tax Benefits for Crypto Companies  ',
"b'As Bitcoin Soars, So Do Coinbase Customer Complaints  '",
"b""'Hundreds' of Crypto Miners Said to Be Descending on Quebec  """,
"b""No, 'Litecoin Cash' Isn't Bitcoin Cash All Over Again  """,
b'NY Times Should Congress Create a Crypto Copy? ',
b'Coinbase Customers Cry Foul After Unexpected Bank Charges  ',
"b'@ethereumproject @pirapira 3/ I believe the issue deserved attention from the Ethereum community.""'",
"b'@ethereumproject @pirapira 2/ ""I don t regret having made a splash, he writes, citing his decision not to review a '",
b'UPDATE: Outgoing @ethereumproject EIP editor @pirapira comments on his decision to resign in new Medium post: ',
b'Game Maker Atari Is Planning to Launch Its Own Cryptocurrency  ',
b'.@AngelList CEO @naval ponders a world without US tech companies at the center #consensus2017 ',
b'CFTC Chief: US Should Tread Carefully on Crypto Exchange Rules  ',
"b'Clarification: Comments were a statement from EIP editors, not @ethereumproject '",
b'4/ Read our full story here: ',
b'3/ @ethereumproject s @hudsonjameson will be leading a restructuring of the EIP process to for clarity on the roles ',
b'2/ The EIP process is not controlled by the Ethereum Foundation and it is community maintained. We greatly appreci ',
b'UPDATE: @Ethereumproject issues statement on EIP Editor @pirapira s resignation',
b'Bitcoin Price Tops $10K Across Major Exchanges  ',
b'RT @CoinDeskMarkets: #BTC is back within $100 of $10K (Chart via @CoinDesk BPI) ',
b'European Authorities Seek Arrests in Bitcoin Scam Investigation  ',
b'CFTC Joins SEC In Warning Against Crypto Pump-and-Dumps  ',
"b""RT @CoinDeskMarkets: CoinDesk's Bitcoin Price Index (BPI) is back above $9,800 """,
"b""Philippines Banks to Use Visa's Blockchain Payments Platform  """,
b'RT @CoinDeskMarkets: #Bitcoin #BTCUSD update: 4-hour chart Previous bearish engufling candle near $10K signals temporary exhaustion. A br',
b'Surging Litecoin Is Leading the Crypto Market Recovery  ',
b'MIT Professor Raises $4 Million to Build a Better Blockchain  ',
b'IBM Wants You to Know All the Ways Blockchain Can Go Wrong  ',
b'Ethereum Developer Resigns as Code Editor Citing Legal Concerns  ',
b'Crypto Asset Lending Startup BlockFi Raises $ Million  ',
"b'Bitcoin Looks Above $10K, But Resistance May Await  '",
b'RT @CoinDeskMarkets: #Bitcoin #BTCUSD (4-hour chart) first inverse head and shoulders breakout and now 50-MA and 100-MA heading towards a b',
"b'RT @CoinDeskMarkets: Is #Litecoin #LTCUSD aiming for $300? Bull breakout confirmed yesterday, sees positive follow-through today. RSI, 5-D'",
"b""Bitcoin Isn't the Only Crypto Adding Lightning Tech Now  """,
"b""BBC Cryptocurrency Craze 'Hinders Search for Alien Life'  by @machinestarts""",
b'Cisco: Bitcoin Phishing Scam Bagged $50 Million Over 3 Years  ',
"b""Vice This Guy Lives on a Yacht He Bought With Money He Made Selling 'Pepe Cash'  by @SWSerbe""",
"b""Ethereum's Magic Solution? 'Fellowship' of Coders Embark on Governance Quest  """,
b'RT @gavinandresen: Why many early crypto adopters are probably not as rich as you think: ',
b'Rethink the HODL? ',
b'RT @cduhaime: Digital currencies are fastest growing donation for charities of Fidelity. ',
b'RT @CoinDeskMarkets: #BTC prices edge above $ to hit 2-week high (Chart via @CoinDesk BPI) ',
b'The Hard Thing About Crypto Price Valuation  ',
"b""RT @JustinHerman: Want to hear about Blockchain in government directly from the source? There's more than you think in plain sight. Start h""",
b'DC Blockchain Hearing Sees Call for Congressional Commission  ',
b'US Commodities Regulator Establishes Crypto and DLT Committees  ',
"b""Moody's: Bitcoin Volatility (Likely) Won't Hurt CME's Risk Rating  """,
b'',
b'The @HouseScience hearing concluded some two hours after it began. The public still has two weeks to submit written ',
"b'Wright: ""I think public, open blockchains are the major use case that will emerge and that will serve as the spine, '",
"b'Yiannas: ""I think the transparency we can give to consumers, the information about where [food] comes from, I think '",
"b'Cuomo: ""We are leaving parts of our digital life all over the place. I think cleaning it up with standards would be [beneficial]."" #DLTinDC'",
"b'Romine: ""We\'re in the beginning stages of building our testbed. If I were a betting man, I would say the winning te '",
"b'Jaikaran: ""The swath of available projects is very wide at this point  as we continue to investigate this, we\'ll '",
"b'In closing, Abraham asks how the committee can support blockchain research going forward. #DLTinDC'",
"b""RT @prestonjbyrne: It isn't tamper-proof, it's tamper-evident #DLTinDC """,
"b""RT @C1aranMurray: Serious amount of LOLs coming out of #DLTinDC. The greatest hits of all the inaccurate claims you've heard about bloc""",
"b'Wright: ""Could there be an infinite number of virtual currencies? Theoretically, yes."" #DLTinDC'",
b'RT @geofferrex: Wright and Cuomo both encourage funding projects or prizes to support academic and private research into blockchain project',
"b'Cuomo: ""We ve enabled systems with right-to-be-forgotten by  marrying two systems. So what is being redacted i '",
"b'Wright: Digitized fiat currencies on a blockchain are ""in the proof-of-concept"" in some countries. #DLTinDC'",
"b'Wright: ""In the  obviously the land title record system is fractured and it would take cooperation from agencie '",
b'Wright and Cuomo both encourage funding projects or prizes to support academic and private research into blockchain projects. #DLTinDC',
"b'Wright: ""I think blockchain technology - and some have analogized it to being as impactful, if not more impactful, '",
"b'Wright: ""There\'s a tremendous amount of activity in New York, a tremendous amount of activity in the Bay Area. I th '",
"b'Jaikaran: ""[Blockchain] is a potential technology that can be applied to [health records storage] problems. Whether '",
"b'Yiannas: ""We are going to try and design a system for food safety specific to farmers\' needs."" #DLTinDC'",
"b'Jaikaran on blockchain-based voting systems: ""The blockchain doesn t record the vote, it records the person, the id '",
b'Saudi Central Bank to Test Ripple Payments Tech  ',
"b'In response to a question from Perlmutter, Romine reiterates that quantum computing is some time away from breaking '",
"b'RT @BruceReign: Good Stuff Cuomo, and Banks! #DLTinDC'",
"b""RT @SethEKaye: @gsgreene @coindesk the nodes/miners that maintain the network! duh. that's kind of whole point of blockchain """,
b'RT @gsgreene: @coindesk A blockchain without a large group of unrelated independent entities verifying and securing the immunability of the',
"b'Rep. Ed Perlmutter: ""The possibilities are endless [for blockchain]."" #DLTinDC'",
"b""Both Yiannas and Cuomo agreed with Rep. Jim Banks' statement that private industry has benefited from light regulat """,
"b'Cuomo: ""There s an immense amount of innovation that will happen using blockchain."" #DLTinDC'",
"b'In response to a question from Rep. Clay Higgins, Romine notes that quantum computing is 15-30 years from being ""cr '",
"b'Jaikaran: ""For some of the more sensitive supply-chain concerns, the implementation may be permissioned and private '",
"b'Wright further explains his proposed blockchain commission: ""There\'s competing interpretations [on blockchain tools '",
"b'Cuomo, in response to a question on digital identity on a blockchain: ""One of the misnomers about using a blockchai '",
"b'Beyer asks whether an electro-magnetic pulse would destroy a blockchain ledger. Romine: ""That\'s certainly one cat '",
"b'Abraham\'s first question revolves around blockchain\'s immutability: ""How is it tamper-proof?"" #DLTinDC'",
"b'Abraham: If I m understanding this correctly, this technology could be transformational. #DLTinDC'",
"b'RT @mikejcasey: ""It\'s like the early days of bitcoin all over again."" How to Send Bitcoin on Lightning (Even If You Might Not Want To) http'",
"b'Wright: ""I would encourage Congress to commission a blockchain advisory group [to study the technology and regulations]."" #DLTinDC'",
b'US Treasury Official Calls for Global Crypto Regulation  ',
"b'Aaron Wright, a law professor who focuses on technology law: ""Token sales can prove a potent form of democratizing '",
"b'Walmart\'s Frank Yiannas: ""In 2017 Walmart decided to trial a blockchain to track mangoes from store to store  at '",
"b'Cuomo: ""We urge Congress and the Trump administration, when considering regulatory frameworks, to note the differen '",
